RANDOM_ID,GENDER,IN_STATE,UNMET_NEED_PERCENT,PELL,MAJOR,MAJOR_DESC,SCIENCE_CLASSES,LAB_CLASSES,RESIDENCE_HALL,ETHNICITY,CREDITS_EARNED,GPA_CREDITS,GPA
"2,462",F,N,0,,ESS,Exercise and Sport Science,20,5,Hayes Healy,Multi Race,139,138,3.51
"31,327",F,Y,100,Y,MS,Media Studies,4,10,Phelan,Hispanic or Latino,135,129,3.19
"35,938",M,Y,0,,SOC,Sociology,0,0,Gillson,International,16,32,0.84
"39,172",M,Y,0,,BENI,Entrepreneurship & Innovation,4,1,Gillson,International,139,163,2.59
"42,202",F,Y,100,Y,PSYC,Psychology,0,0,Hayes Healy,Hispanic or Latino,56,60,2.99
"50,041",F,Y,83,,BADM,Business Administration,6,1,Hayes Healy,Asian,131,134,3.33
"51,156",F,Y,0,,ESS,Exercise and Sport Science,25,5,Hayes Healy,White,134,118,3.03
"55,865",M,Y,0,,BADM,Business Administration,3,1,Lone Village,International,129,128,3.72
"62,349",M,Y,0,,BADM,Business Administration,1,0,Hayes Healy,White,32,32,2.98
"91,145",F,Y,0,,ENVS,Environmental Science,7,10,Gillson,Asian,134,132,2.87
"96,030",F,Y,0,,PSYC,Psychology,5,1,Gillson,International,131,131,2.94
"96,073",M,Y,0,,ECON,Economics,3,2,Phelan,International,130,130,2.99
"102,882",F,Y,90,,POLS,Politics,3,1,Phelan,Hispanic or Latino,131,111,3.45
"106,741",F,N,64,Y,BIOL,Biology,,,,White,0,0,0
"107,819",F,Y,0,,BMKT,Marketing,4,1,Hayes Healy,Hispanic or Latino,128,128,3.21
"114,916",M,Y,85,,FNAR,Fine Arts,0,3,Gillson,White,17,17,3.53
"115,277",M,Y,0,,ENGL,English,2,8,Gillson,Hispanic or Latino,84,88,2.88
"119,969",F,Y,100,Y,BIOL,Biology,8,4,Gillson,African American,134,121,3.42
"125,143",M,Y,94,Y,NURS,Nursing,2,1,Hayes Healy,White,21,13,2.38
"143,299",F,Y,0,,NURS,Nursing,8,19,Phelan,Asian,154,109,3.37
"166,808",F,Y,98,Y,BIOL,Biology,31,12,Gillson,Asian,129,124,3.46
"168,591",F,Y,0,,BADM,Business Administration,3,1,Hayes Healy,International,129,121,3.47
"187,621",M,Y,0,,BMKT,Marketing,4,2,,International,128,135,2.96
"191,079",F,Y,70,,BACT,Accounting,3,2,Phelan,Hispanic or Latino,130,130,3.42
"195,308",F,N,87,,PSYC,Psychology,2,1,Hayes Healy,White,37,33,4
"201,576",F,Y,69,,BACT,Accounting,4,2,Phelan,Asian,150,142,3.39
"202,692",F,Y,92,Y,PSYC,Psychology,3,2,Fromm,Hispanic or Latino,128,120,3.31
"203,040",F,Y,92,Y,BADM,Business Administration,2,0,Hayes Healy,Hispanic or Latino,135,112,3.13
"203,961",F,N,100,Y,FNAR,Fine Arts,0,2,Gillson,White,18,18,3.78
"207,288",M,Y,74,,ESS,Exercise and Sport Science,6,2,Hayes Healy,Asian,130,118,2.58
"225,630",M,Y,2,,ESS,Exercise and Sport Science,27,3,Phelan,Asian,128,126,3.60
"228,451",M,Y,0,,POLS,Politics,5,3,Gillson,Multi Race,145,133,3.65
"233,824",F,Y,100,Y,BIOL,Biology,7,2,Hayes Healy,Hispanic or Latino,106,115,2.18
"238,206",F,Y,100,Y,BIOL,Biology,34,16,Fromm,Asian,142,126,3.11
"240,493",F,N,0,,BADM,Business Administration,4,1,,International,128,128,2.82
"240,654",M,N,100,Y,BMKT,Marketing,1,0,Gillson,Asian,139,88,3.54
"255,376",F,Y,0,,DSGN,Design,4,5,Hayes Healy,Hispanic or Latino,132,132,3.14
"261,972",F,Y,28,,ENVS,Environmental Science,30,11,Phelan,Hispanic or Latino,132,129,3.02
"262,977",F,Y,0,,ECON,Economics,4,1,Gillson,International,128,120,3.54
"271,843",F,Y,92,Y,SOC,Sociology,33,12,Gillson,Asian,162,138,2.77
"279,115",F,Y,0,,SOC,Sociology,13,1,Phelan,Asian,146,134,2.73
"296,306",M,Y,0,,BACT,Accounting,7,1,Gillson,Asian,128,128,3.22
"296,906",M,N,99,Y,BACT,Accounting,1,0,Gillson,Asian,27.05,17,3.78
"301,905",F,Y,80,,PSYC,Psychology,0,0,Gillson,Hispanic or Latino,22,18,3.84
"308,921",F,Y,56,,BMKT,Marketing,1,3,Hayes Healy,Multi Race,152,128,3.95
"312,378",M,Y,0,,BFIN,Finance,5,1,Lone Village,International,129,132,3.19
"316,279",M,Y,0,,UNBN,Undeclared Business,8,1,Gillson,White,129,125,3.29
"337,564",F,Y,13,,NURS,Nursing,10,14,Fromm,Asian,136,102,3.39
"342,136",F,Y,0,,BACT,Accounting,0,0,Gillson,White,30,30,3.19
"345,083",M,Y,0,,BADM,Business Administration,1,0,Hayes Healy,Multi Race,133,121,2.98
"346,025",F,Y,31,,COMS,Communication Studies,6,1,Phelan,Asian,128,138,2.63
